card_id,source,doi,summary,reaction_scope,variable_scope,target_nodes,confidence,allowed_use,source_type,leakage_risk
suzuki_lit_082,"Lennox and Lloyd-Jones, Journal of the American Chemical Society, 2012",10.1021/ja300236k,Vinyltrifluoroborate can hydrolyze rapidly because its hydrophilicity drives partitioning into the aqueous phase.,suzuki-miyaura cross-coupling,Nucleophile | Solvent,semantic_assessment | shortlist_rerank | lab_batch_composition,high,advisory,literature,clean_literature_prior
suzuki_lit_083,"Basu et al., Green Chemistry, 2010",10.1039/C0GC00122H,"Under ligand-free on-water conditions with trihydroxyboronates, aryl iodides and bromides react readily at room temperature whereas chlorides require more forcing conditions.",suzuki-miyaura cross-coupling,Electrophile | Nucleophile | Ligand | Solvent,design_init_experiments | shortlist_rerank | semantic_assessment,high,advisory,literature,clean_literature_prior
suzuki_lit_084,"Wolfe et al., Journal of the American Chemical Society, 1999",10.1021/ja992130h,Aryl chlorides should generally be paired with more electron-rich and sterically demanding ligands than aryl bromides when oxidative addition is slow.,suzuki-miyaura cross-coupling,Electrophile | Ligand,design_init_experiments | hypothesis_action | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_085,"Barder and Buchwald, Organic Letters, 2004",10.1021/ol0491686,Heteroaryl chlorides can be competent electrophiles when paired with SPhos and an appropriately activated boron reagent.,suzuki-miyaura cross-coupling,Electrophile | Ligand | Nucleophile,design_init_experiments | shortlist_rerank | hypothesis_action,high,advisory,literature,clean_literature_prior
suzuki_lit_086,"Billingsley and Buchwald, Journal of the American Chemical Society, 2007",10.1021/ja068577p,Sterically hindered aryl and heteroaryl halides benefit from highly active monophosphine catalysts rather than generic low-activity systems.,suzuki-miyaura cross-coupling,Electrophile | Ligand,stagnation_diagnosis | hypothesis_action | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_087,"Hoshi et al., The Journal of Organic Chemistry, 2013",10.1021/jo402089r,Electron-rich aryl chlorides are comparatively deactivated electrophiles and often require a stronger oxidative-addition catalyst.,suzuki-miyaura cross-coupling,Electrophile | Ligand,semantic_assessment | hypothesis_action | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_088,"Hoshi et al., The Journal of Organic Chemistry, 2013",10.1021/jo402089r,Electrophiles containing coordinating functional groups can shorten catalyst lifetime even when the carbon-halogen bond is not highly hindered.,suzuki-miyaura cross-coupling,Electrophile | Ligand,semantic_assessment | stagnation_diagnosis | reflection_action,medium,advisory,literature,clean_literature_prior
suzuki_lit_089,"Neufeldt et al., The Journal of Organic Chemistry, 2019",10.1021/acs.joc.9b01692,Chemoselectivity in polyfunctional electrophiles is ligand-dependent and should be verified rather than inferred only from leaving-group identity.,suzuki-miyaura cross-coupling,Electrophile | Ligand,semantic_assessment | verification_pass | reflection_action,high,advisory,literature,clean_literature_prior
suzuki_lit_090,"So et al., ACS Catalysis, 2021",10.1021/acscatal.1c02146,C-Cl versus C-OTf reactivity order is not intrinsic; a tailored ligand can make chloride the preferred coupling site.,suzuki-miyaura cross-coupling,Electrophile | Ligand,hypothesis_action | shortlist_rerank | verification_pass,high,advisory,literature,clean_literature_prior
suzuki_lit_091,"Kinzel et al., Journal of the American Chemical Society, 2010",10.1021/ja1073799,Aryl triflates can be coupled with highly unstable boronic acids under mild and fast catalyst conditions.,suzuki-miyaura cross-coupling,Electrophile | Nucleophile | Ligand,design_init_experiments | hypothesis_action | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_092,"Kinzel et al., Journal of the American Chemical Society, 2010",10.1021/ja1073799,"A single fast biarylphosphine precatalyst can cover chlorides, bromides, and triflates when nucleophile instability is the dominant challenge.",suzuki-miyaura cross-coupling,Electrophile | Nucleophile | Ligand,design_init_experiments | lab_batch_composition | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_093,"Burns et al., Organic Letters, 2007",10.1021/ol702291r,"Benzylic halides can participate in Suzuki-Miyaura coupling, but they require catalyst systems validated for sp3 electrophiles.",suzuki-miyaura cross-coupling,Electrophile | Ligand,semantic_assessment | design_init_experiments | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_094,"Basu et al., Green Chemistry, 2010",10.1039/C0GC00122H,"With water-compatible trihydroxyboronates, iodide and bromide electrophiles are easier than chlorides under ligand-free conditions.",suzuki-miyaura cross-coupling,Electrophile | Nucleophile | Ligand | Solvent,shortlist_rerank | semantic_assessment | reflection_action,high,advisory,literature,clean_literature_prior
suzuki_lit_095,"Dreher et al., The Journal of Organic Chemistry, 2009",10.1021/jo900152n,Aryl chloride plus primary alkyltrifluoroborate is a doubly demanding pairing that benefits from an alkyl-specific ligand and hydrolytic solvent system.,suzuki-miyaura cross-coupling,Electrophile | Nucleophile | Ligand | Solvent,design_init_experiments | hypothesis_action | lab_batch_composition,high,advisory,literature,clean_literature_prior
suzuki_lit_096,"Billingsley and Buchwald, Journal of the American Chemical Society, 2007",10.1021/ja068577p,Heteroaryl-halide plus heteroaryl-boron combinations warrant specialized ligand screening because both partners can coordinate or decompose.,suzuki-miyaura cross-coupling,Electrophile | Nucleophile | Ligand,design_init_experiments | semantic_assessment | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_097,"Barder et al., Journal of the American Chemical Society, 2005",10.1021/ja042491j,"SPhos can support formation of sterically hindered biaryls, making it a strong initial ligand for ortho-substituted coupling partners.",suzuki-miyaura cross-coupling,Electrophile | Nucleophile | Ligand,design_init_experiments | shortlist_rerank | hypothesis_action,high,advisory,literature,clean_literature_prior
suzuki_lit_098,"Neufeldt et al., The Journal of Organic Chemistry, 2019",10.1021/acs.joc.9b01692,Sequential functionalization of multi-electrophile substrates can exploit ligand-controlled site selectivity rather than relying only on temperature staging.,suzuki-miyaura cross-coupling,Electrophile | Ligand,hypothesis_action | design_init_experiments | reflection_action,high,advisory,literature,clean_literature_prior
suzuki_lit_099,"Kinzel et al., Journal of the American Chemical Society, 2010",10.1021/ja1073799,"When an unstable boronic acid is used, choose an electrophile-ligand combination that produces reactive palladium(II) faster than the nucleophile decomposes.",suzuki-miyaura cross-coupling,Electrophile | Nucleophile | Ligand,hypothesis_action | stagnation_diagnosis | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_100,"Lennox and Lloyd-Jones, Chemical Society Reviews, 2014",10.1039/C3CS60197H,"For a heteroaryl chloride paired with an unstable heteroaryl boron reagent, ligand, base, and solvent should be optimized as an interacting set.",suzuki-miyaura cross-coupling,Electrophile | Nucleophile | Ligand | Base | Solvent,design_init_experiments | hypothesis_action | lab_batch_composition | reflection_action,high,advisory,literature,clean_literature_prior
